0DA18A10|Acrobat Mission|5DE=42FB
FEFB246D|Super Ghouls'n Ghosts (U) [Restored]|1D1=EAEA,A6C4=DB6F 
7E8FE01A|Super Mario All Stars|41=EAEA,7D5=EAEA,827=EAEA,BB8=EAEA,BD0=EAEA,BDB=EAEA,BE0=EAEA,189B4=EAEA,1E4E3=EAEA,201B9=EAEA,68755=EAEA,6E439=EAEA,88470=EAEA,8963A=EAEA,A5F2C=EAEA,A5FDB=EAEA,1166CD=EAEA,12F39D=EAEA,393=425B,18522=425B,2C804=42BA,683B5=425B,696AC=42BA,891D7=DB61,89583=425B,A7A9D=42BA,F06DA=42,F06E1=DB,F06E9=42D9,10705F=4256,1070D0=4256,10711B=4256,107142=4256,10718D=4256,1072E7=42D9,107355=425B,1073CF=425B,107443=425B,107498=425B,107504=425B,107538=425B,107562=425B
925637C7|Super Mario All-Stars (U)|181AC=42,68065=42,100247=421B,80=42FB
56410E5E|Super Mario Kart (E) [!]|960C=EAEA,9638=EAEA,1F508=EAEA,1F51E=EAEA,1F529=EAEA,1F52E=EAEA,1F55C=EAEA,3BB80=EAEA,61E37=EAEA,805E=42
CD80DB86|Super Mario Kart (U)|9625=EAEA,9651=EAEA,1F513=EAEA,1F529=EAEA,1F534=EAEA,1F539=EAEA,1F567=EAEA,3BB72=EAEA,61E37=EAEA,805E=42 
B19ED489|Super Mario World|6D=42
D63ED5F8|Super Metroid (U)|346=42DB
AD2CBF9C|Super Metroid (E)|346=42DB
6BCBBA10|Super Ninja Boy (U)|4FA=421C,23C70=421B,8276=421b
E2F92F84|Super Punch-Out!! (U)|4C42=42DB,3145=42DC,10B7=42DC
F16D5CE9|Super Street Fighter 2 - The Ne|DB=42FB
6C128210|Tetris Attack (U)|148B=EAEA,1486=EAEA,14CC=EAEA,1556=EAEA,14DD=EAEA,155B=EAEA,1571=EAEA,1576=EAEA,20168=DBA4
91867AF4|Twinbee - Rainbow Bell Adventur|4|0|0|0|0|FFFFFFFB|2959=EAEA,2967=EAEA,2975=EAEA,2A81=EAEA,10C=4281
5940BD99|TMNT 4 - Turtles in Time|1320000|0|7E040C|0|1E|14|162=4280 
B3EF81F5|The Adventures of Batman & Robi|1779=EAEA,161B=EAEA,F3=4288
522FE837|Thunder Spirits|30892=42DA,818=42DB,B8266=42DB
231F0F67|U.N. Squadron (U)|61=EAEA,64=EAEA,65=EAEA,129=42FC,336=42D9,353=EAEA,4CB=EAEA,4EA=EAEA,4F5=EAEA,4FA=EAEA
7CFC0C7C|Zombies Ate My Neighbors (U)|10000000|4040|0|0|0|0|4CCF=EAEA,9DC=42 
